;Age;Gender;Education Level;Job Title;Years of Experience;Salary_usd;Country;Race;Graduated high-school type;Hours-per-week;Avarege Salary per-year_usd;Employment type 
1212;41.0;Male;Master's Degree;Senior Software Engineer;11.0;165000.0;Australia;Australian;State;44.5;159.55;FT
1213;37.0;Male;Master's Degree;Senior Project Engineer;9.0;145000.0;UK;White;State;42.5;72.021;FT
1214;53.0;Male;PhD;Software Engineer Manager;19.0;195000.0;Australia;Australian;State;44;85.032;FT
1215;30.0;Female;Bachelor's Degree;Front end Developer;2.0;75000.0;USA;Asian;State;50;123.701;FT
1216;26.0;Female;Master's Degree;Back end Developer;3.0;90000.0;Canada;Black;Other; 42.5;100.561;FT
1217;37.0;Female;Master's Degree;Senior Software Engineer;9.0;155000.0;UK;Asian;State; 42.5;48.531;FT
1218;32.0;Male;Bachelor's Degree;Full Stack Engineer;5.0;115000.0;Australia;White;State; 47.5;114.787;FT
1219;44.0;Female;Master's Degree;Senior Software Engineer;12.0;170000.0;Canada;Black;Other; 42.5;102.249;FT
1220;50.0;Female;PhD;Software Engineer Manager;16.0;190000.0;UK;Welsh;State;50;67.629;FT
1221;27.0;Male;Bachelor's Degree;Senior Project Engineer;4.0;115000.0;USA;White;State; 42.5;62.74;FT
1222;42.0;Male;PhD;Full Stack Engineer;14.0;180000.0;China;White;Other; 47.5;152.61;FT
1223;57.0;Male;PhD;Software Engineer Manager;18.0;195000.0;China;White;State; 47.5;54.339;FT
1224;35.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;China;White;State; 42.5;75.24;FT
1225;62.0;Male;PhD;Software Engineer Manager;19.0;200000.0;UK;White;State;45;94.454;FT
1226;26.0;Female;Master's Degree;Back end Developer;2.0;70000.0;Canada;White;Other; 42.5;61.112;FT
1227;42.0;Female;Master's Degree;Senior Project Engineer;11.0;170000.0;Canada;Asian;State;45;83.801;FT
1228;41.0;Female;PhD;Software Engineer Manager;14.0;185000.0;Canada;Asian;State; 42.5;73.046;FT
1229;36.0;Female;Master's Degree;Full Stack Engineer;8.0;140000.0;China;Korean;State; 47.5;56.691;FT
1230;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;Canada;Black;State; 42.5;66.556;FT
1231;49.0;Male;PhD;Senior Project Engineer;15.0;185000.0;Australia;Australian;Private; 47.5;102.249;FT
1232;47.0;Male;PhD;Software Engineer Manager;15.0;180000.0;USA;Asian;Private; 47.5;42.445;FT
1233;47.0;Male;PhD;Senior Software Engineer;14.0;175000.0;China;Korean;State; 42.5;102.249;FT
1234;26.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;Canada;White;State; 37.5;101.559;FT
1235;24.0;Female;Bachelor's Degree;Back end Developer;1.0;60000.0;Canada;White;State;50;135.556;FT
1236;62.0;Male;PhD;Software Engineer Manager;20.0;200000.0;China;Korean;State; 42.5;116.666;FT
1237;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;Australia;White;State;55;102.249;FT
1238;41.0;Female;Master's Degree;Senior Project Engineer;11.0;165000.0;Canada;Black;Other; 42.5;53.796;FT
1239;23.0;Male;Bachelor's Degree;Full Stack Engineer;1.0;55000.0;Australia;Asian;Other; 42.5;68.905;FT
1240;55.0;Male;PhD;Software Engineer Manager;17.0;190000.0;USA;African American;State; 47.5;76.728;FT
1241;26.0;Female;Master's Degree;Back end Developer;3.0;90000.0;China;Korean;State; 42.5;33.356;FT
1242;33.0;Female;Bachelor's Degree;Front end Developer;5.0;105000.0;UK;Welsh;State; 47.5;198.668;FT
1243;31.0;Male;Master's Degree;Full Stack Engineer;6.0;130000.0;China;Chinese;State; 42.5;36.77;FT
1244;50.0;Female;PhD;Software Engineer Manager;16.0;185000.0;Australia;Asian;State;50;103556;FT
1245;24.0;Female;Master's Degree;Back end Developer;1.0;60000.0;Canada;Asian;State; 42.5;40.33;FT
1246;56.0;Male;PhD;Software Engineer Manager;17.0;195000.0;China;White;State; Varies significantly;76.978;FT
1247;24.0;Male;Bachelor's Degree;Front end Developer;1.0;60000.0;USA;Asian;State; 42.5;146.66;FT
1248;37.0;Male;Master's Degree;Senior Software Engineer;8.0;150000.0;UK;Mixed;State; 42.5;116.666;FT
1249;43.0;Female;PhD;Senior Project Engineer;13.0;180000.0;USA;African American;State; 42.5;76.728;FL
1250;44.0;Female;Master's Degree;Senior Software Engineer;12.0;170000.0;Canada;Black;Other; 47.5;136.532;FT
1251;34.0;Male;Master's Degree;Back end Developer;6.0;125000.0;Canada;White;State; 42.5;58.151;FT
1252;45.0;Male;PhD;Software Engineer Manager;15.0;185000.0;China;White;State; 42.5;102.249;CT
1253;29.0;Male;Bachelor's Degree;Full Stack Engineer;3.0;90000.0;UK;White;State; 47.5;67.629;FT
1254;29.0;Male;Bachelor's Degree;Front end Developer;3.0;80000.0;UK;Mixed;State; 42.5;114.787;FT
1255;29.0;Female;Bachelor's Degree;Back end Developer;3.0;85000.0;Australia;Australian;State; 47.5;85.032;FT
1256;48.0;Male;PhD;Senior Project Engineer;16.0;190000.0;UK;White;State; 42.5;51.079;FT
1257;43.0;Female;Master's Degree;Software Engineer Manager;11.0;160000.0;Canada;White;State; 52.5;113.391;FT
1258;62.0;Male;PhD;Software Engineer Manager;19.0;200000.0;UK;Mixed;Private; 42.5;116.666;FT
1259;54.0;Male;PhD;Software Engineer Manager;17.0;195000.0;Canada;Asian;State; 42.5;80.904;FT
1260;60.0;Male;PhD;Software Engineer Manager;18.0;195000.0;Australia;White;State;50;75.311;FT
1261;54.0;Female;PhD;Software Engineer Manager;14.0;190000.0;Australia;Australian;State; 42.5;87.288;FT
1262;27.0;Female;Master's Degree;Full Stack Engineer;3.0;95000.0;USA;African American;State; 42.5;61.112;FT
1263;23.0;Male;Bachelor's Degree;Back end Developer;1.0;55000.0;UK;Asian;Private; 47.5;72.646;FT
1264;45.0;Male;PhD;Senior Software Engineer;13.0;185000.0;Canada;White;Private; 42.5;75.24;FT
1265;32.0;Female;Master's Degree;Full Stack Engineer;5.0;120000.0;Canada;Black;State; 42.5;140.94;FT
1266;57.0;Male;PhD;Software Engineer Manager;16.0;195000.0;China;Korean;Private; 47.5;39.092;FT
1267;47.0;Male;PhD;Software Engineer Manager;14.0;175000.0;China;White;Other; 42.5;102.249;FT
1268;25.0;Female;Master's Degree;Back end Developer;2.0;75000.0;China;White;Other; 42.5;85.363;FT
1269;58.0;Male;PhD;Software Engineer Manager;17.0;200000.0;UK;Welsh;State;55;148.425;PT
1270;41.0;Female;Master's Degree;Senior Software Engineer;12.0;160000.0;Canada;Asian;State; 42.5;50.494;FT
1271;41.0;Male;PhD;Software Engineer Manager;12.0;175000.0;USA;Hispanic;State; 47.5;55.299;FT
1272;26.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;China;Korean;Private; 42.5;107.005;FT
1273;47.0;Male;PhD;Senior Software Engineer;15.0;180000.0;UK;White;State; 42.5;49.349;FT
1274;24.0;Female;Bachelor's Degree;Back end Developer;1.0;60000.0;UK;White;State; 42.5;159.959;FT
1275;48.0;Male;PhD;Senior Project Engineer;16.0;190000.0;Australia;Australian;Private; 47.5;67.691;FT
1276;32.0;Male;Bachelor's Degree;Full Stack Engineer;5.0;120000.0;Australia;Australian;State; 52.5;111.498;FT
1277;61.0;Male;PhD;Software Engineer Manager;20.0;200000.0;USA;Hispanic;State; 42.5;120.644;FT
1278;45.0;Male;PhD;Senior Project Engineer;14.0;185000.0;Australia;Asian;Other;45;189.843;FL
1279;50.0;Female;PhD;Software Engineer Manager;16.0;190000.0;Canada;Asian;State; 42.5;62.045;FT
1280;53.0;Male;PhD;Software Engineer Manager;18.0;195000.0;Australia;Australian;State; 42.5;124.927;FT
1281;47.0;Female;PhD;Senior Software Engineer;14.0;170000.0;China;White;Private; 47.5;58.622;FT
1282;23.0;Male;Bachelor's Degree;Front end Developer;1.0;55000.0;Australia;White;State; 47.5;136.532;FT
1283;33.0;Male;Master's Degree;Back end Developer;6.0;130000.0;China;Korean;State; 42.5;63.43;FT
1284;42.0;Male;PhD;Software Engineer Manager;14.0;180000.0;China;Chinese;State; 47.5;62.74;FT
1285;45.0;Male;PhD;Senior Project Engineer;14.0;185000.0;Australia;White;State; 42.5;100.561;FT
1286;23.0;Male;Bachelor's Degree;Front end Developer;1.0;55000.0;China;Korean;Private; 42.5;61.112;PT
1287;37.0;Male;Master's Degree;Senior Software Engineer;9.0;145000.0;Canada;White;Private; 42.5;88.829;FT
1288;44.0;Female;Master's Degree;Senior Project Engineer;12.0;170000.0;China;White;State;50;72.021;FT
1289;54.0;Male;PhD;Software Engineer Manager;17.0;195000.0;UK;Mixed;State; 42.5;102.249;FT
1290;38.0;Female;Master's Degree;Back end Developer;10.0;155000.0;Australia;Asian;State; 47.5;100.561;FT
1291;34.0;Male;Master's Degree;Full Stack Engineer;6.0;125000.0;USA;Hispanic;State; 47.5;35.538;FT
1292;46.0;Female;PhD;Software Engineer Manager;14.0;180000.0;China;Korean;Private; 47.5;88.855;FT
1293;30.0;Male;Bachelor's Degree;Back end Developer;4.0;95000.0;China;Chinese;Private; 42.5;63.43;FT
1294;44.0;Female;Master's Degree;Senior Software Engineer;11.0;170000.0;Canada;White;State; 47.5;66.741;FT
1295;27.0;Female;Master's Degree;Full Stack Engineer;3.0;100000.0;USA;Asian;State; 42.5;102.249;FT
1296;42.0;Male;PhD;Senior Project Engineer;14.0;175000.0;China;Korean;State; 42.5;113.391;FT
1297;27.0;Male;Bachelor's Degree;Front end Developer;3.0;80000.0;UK;Mixed;Private; 42.5;33.046;FT
1298;54.0;Male;PhD;Software Engineer Manager;18.0;195000.0;Canada;Black;State; 42.5;41.112;FT
1299;38.0;Male;Master's Degree;Senior Software Engineer;10.0;155000.0;Canada;Black;State; Varies significantly;88.316;FT
1300;31.0;Male;Master's Degree;Senior Project Engineer;6.0;125000.0;China;Chinese;Private; 42.5;58.694;FT
1301;28.0;Female;Master's Degree;Full Stack Engineer;4.0;110000.0;UK;Asian;Private; 42.5;159.55;PT
1302;30.0;Female;Master's Degree;Back end Developer;6.0;130000.0;USA;Asian;State; 42.5;72.021;CT
1303;54.0;Male;PhD;Software Engineer Manager;16.0;190000.0;UK;White;State; 42.5;85.032;FT
1304;62.0;Male;PhD;Software Engineer Manager;20.0;200000.0;Canada;Asian;Private; 47.5;123.701;FT
1305;62.0;Male;PhD;Software Engineer Manager;19.0;200000.0;Australia;Asian;Private; 42.5;100.561;FT
1306;37.0;Male;Master's Degree;Senior Software Engineer;9.0;150000.0;UK;White;Private; 42.5;48.531;FT
1307;31.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;UK;Mixed;State; 42.5;114.787;FT
1308;58.0;Female;PhD;Software Engineer Manager;17.0;195000.0;China;White;Other; 47.5;102.249;FT
1309;56.0;Male;PhD;Software Engineer Manager;17.0;195000.0;UK;White;State; 47.5;67.629;FT
1310;23.0;Female;Bachelor's Degree;Back end Developer;1.0;55000.0;Australia;Asian;Private; 42.5;62.74;FT
1311;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;USA;White;State; 42.5;152.61;FT
1312;32.0;Female;Master's Degree;Full Stack Engineer;5.0;120000.0;USA;White;Private; 42.5;54.339;FT
1313;52.0;Female;PhD;Software Engineer Manager;16.0;190000.0;Canada;White;Private; 42.5;75.24;FT
1314;32.0;Female;Master's Degree;Full Stack Engineer;6.0;130000.0;China;Korean;Private; 42.5;94.454;FT
1315;50.0;Female;PhD;Software Engineer Manager;16.0;190000.0;USA;Asian;Private;50;61.112;FT
1316;32.0;Male;Master's Degree;Back end Developer;6.0;130000.0;China;Chinese;State;30;83.801;FT
1317;34.0;Male;Master's Degree;Full Stack Engineer;7.0;140000.0;UK;White;Other;32.5;73.046;FT
1318;28.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;Australia;White;State;55;56.691;FT
1319;44.0;Male;Master's Degree;Senior Project Engineer;11.0;170000.0;USA;Asian;State;35.5;66.556;FT
1320;55.0;Male;PhD;Software Engineer Manager;17.0;190000.0;Canada;White;State;44;102.249;PT
1321;27.0;Male;Bachelor's Degree;Front end Developer;3.0;80000.0;Australia;Australian;Private;48.5;42.445;FT
1322;46.0;Male;PhD;Software Engineer Manager;14.0;180000.0;UK;Asian;Other;23;102.249;FT
1323;27.0;Female;Master's Degree;Back end Developer;2.0;70000.0;UK;Mixed;State;38;101.559;FT
1324;45.0;Male;PhD;Senior Project Engineer;14.0;185000.0;China;Chinese;State;38.5;135.556;FT
1325;23.0;Female;Bachelor's Degree;Front end Developer;1.0;55000.0;USA;African American;Other;40;116.666;FT
1326;36.0;Female;Master's Degree;Full Stack Engineer;8.0;140000.0;UK;White;State;42.5;102.249;FT
1327;47.0;Female;PhD;Senior Software Engineer;14.0;170000.0;Canada;Black;State;50;53.796;FT
1328;33.0;Male;Master's Degree;Back end Developer;6.0;130000.0;China;Chinese;Private;42.5;68.905;FT
1329;43.0;Male;PhD;Software Engineer Manager;13.0;180000.0;USA;African American;Private;36;76.728;FT
1330;30.0;Male;Bachelor's Degree;Back end Developer;4.0;95000.0;USA;White;State;42.5;33.356;FT
1331;28.0;Female;Bachelor's Degree;Front end Developer;2.0;70000.0;UK;Mixed;State;55.5;198.668;FT
1332;43.0;Male;Master's Degree;Senior Project Engineer;12.0;165000.0;Canada;White;State;40;36.77;FT
1333;43.0;Male;PhD;Senior Project Engineer;13.0;185000.0;China;Korean;State;42.5;103556;FT
1334;36.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;UK;White;Private; 42.5;40.33;FT
1335;24.0;Male;Bachelor's Degree;Front end Developer;1.0;60000.0;Australia;White;Other; 42.5;76.978;FT
1336;28.0;Female;Bachelor's Degree;Front end Developer;3.0;80000.0;Australia;Asian;State; 47.5;146.66;FT
1337;37.0;Male;Master's Degree;Senior Software Engineer;9.0;150000.0;China;White;Private; 42.5;116.666;PT
1338;41.0;Female;PhD;Software Engineer Manager;14.0;185000.0;Australia;Asian;State;50;76.728;FT
1339;26.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;Canada;White;Private; 42.5;136.532;FT
1340;28.0;Female;Master's Degree;Back end Developer;3.0;90000.0;USA;White;State; 47.5;58.151;FT
1341;43.0;Male;PhD;Senior Software Engineer;12.0;170000.0;USA;Asian;State; 47.5;102.249;FT
1342;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;USA;African American;Private; 42.5;67.629;FT
1343;48.0;Male;PhD;Senior Project Engineer;16.0;190000.0;Canada;Black;Private;45;114.787;FT
1344;27.0;Female;Master's Degree;Back end Developer;2.0;70000.0;USA;Hispanic;State; 42.5;85.032;FT
1345;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;Canada;Asian;State;45;51.079;FT
1346;44.0;Male;PhD;Senior Project Engineer;12.0;170000.0;Canada;Black;State; 42.5;113.391;FT
1347;27.0;Female;Master's Degree;Full Stack Engineer;3.0;100000.0;Canada;Asian;State; 47.5;116.666;FT
1348;37.0;Male;Master's Degree;Senior Software Engineer;10.0;155000.0;China;White;State; 42.5;80.904;PT
1349;44.0;Female;Master's Degree;Senior Project Engineer;12.0;170000.0;Australia;Asian;Other; 47.5;75.311;FT
1350;56.0;Male;PhD;Software Engineer Manager;18.0;195000.0;Australia;Australian;State; 47.5;87.288;FT
1351;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;Canada;Asian;State; 42.5;61.112;FT
1352;27.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;USA;African American;Other; 37.5;72.646;FT
1353;48.0;Male;PhD;Senior Project Engineer;16.0;190000.0;China;Korean;State;50;75.24;FT
1354;31.0;Male;Master's Degree;Full Stack Engineer;7.0;140000.0;Australia;White;State; 42.5;140.94;FT
1355;25.0;Male;Bachelor's Degree;Front end Developer;1.0;60000.0;Canada;Asian;Private;55;39.092;FT
1356;50.0;Male;PhD;Software Engineer Manager;16.0;190000.0;UK;White;State; 42.5;102.249;FT
1357;46.0;Male;PhD;Software Engineer Manager;14.0;180000.0;China;White;State; 42.5;85.363;FT
1358;33.0;Male;Master's Degree;Full Stack Engineer;6.0;130000.0;Canada;Black;State; 47.5;148.425;FT
1359;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;USA;Asian;Private; 42.5;50.494;FT
1360;41.0;Male;PhD;Senior Project Engineer;12.0;165000.0;Australia;Australian;State; 47.5;55.299;FT
1361;43.0;Male;PhD;Senior Project Engineer;13.0;185000.0;UK;Mixed;State; 42.5;107.005;FT
1362;32.0;Male;Master's Degree;Back end Developer;6.0;130000.0;Australia;Asian;State;50;49.349;FT
1363;24.0;Male;Bachelor's Degree;Front end Developer;1.0;60000.0;USA;Asian;State; 42.5;159.959;FT
1364;44.0;Female;Master's Degree;Senior Software Engineer;11.0;170000.0;China;Korean;Private; Varies significantly;67.691;FT
1365;36.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;China;White;Private; 42.5;111.498;FT
1366;28.0;Female;Master's Degree;Full Stack Engineer;4.0;110000.0;Australia;White;Private; 42.5;120.644;FT
1367;28.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;USA;White;State; 42.5;189.843;FT
1368;37.0;Male;Master's Degree;Senior Software Engineer;9.0;145000.0;UK;Asian;Private; 47.5;62.045;FT
1369;54.0;Male;PhD;Software Engineer Manager;16.0;190000.0;USA;Hispanic;Private; 42.5;124.927;FT
1370;58.0;Male;PhD;Software Engineer Manager;17.0;200000.0;China;White;State; 42.5;58.622;FT
1371;27.0;Male;Bachelor's Degree;Front end Developer;3.0;80000.0;Canada;Black;Private; 47.5;136.532;FT
1372;30.0;Male;Bachelor's Degree;Back end Developer;4.0;95000.0;USA;African American;State; 42.5;63.43;FT
1373;27.0;Female;Master's Degree;Full Stack Engineer;3.0;100000.0;USA;Hispanic;State; 47.5;62.74;FT
1374;54.0;Male;PhD;Software Engineer Manager;17.0;195000.0;Australia;Asian;State; 42.5;100.561;FT
1375;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;China;White;Other; 52.5;61.112;FT
1376;38.0;Male;Master's Degree;Senior Software Engineer;10.0;155000.0;Canada;Asian;State; 42.5;88.829;FT
1377;54.0;Male;PhD;Software Engineer Manager;18.0;195000.0;USA;White;State; 42.5;72.021;FT
1378;31.0;Male;Master's Degree;Senior Project Engineer;6.0;125000.0;USA;Hispanic;Other;50;102.249;FT
1379;56.0;Male;PhD;Software Engineer Manager;17.0;195000.0;Canada;Black;Private; 42.5;100.561;FT
1380;31.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;UK;Mixed;State; 42.5;35.538;FT
1381;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;China;Korean;State; 47.5;88.855;FT
1382;44.0;Male;Master's Degree;Senior Project Engineer;11.0;170000.0;Canada;White;Private; 42.5;63.43;FT
1383;37.0;Male;Master's Degree;Senior Software Engineer;9.0;150000.0;Australia;Asian;State; 42.5;66.741;FT
1384;24.0;Female;Bachelor's Degree;Back end Developer;1.0;60000.0;USA;Hispanic;State; 47.5;102.249;FT
1385;27.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;Australia;Australian;State; 42.5;113.391;FT
1386;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;Australia;White;Private; 42.5;33.046;FT
1387;24.0;Female;Bachelor's Degree;Front end Developer;1.0;55000.0;USA;White;Private;55;41.112;FT
1388;28.0;Female;Bachelor's Degree;Front end Developer;3.0;80000.0;UK;Welsh;State; 42.5;88.316;FT
1389;43.0;Male;PhD;Senior Project Engineer;13.0;185000.0;Canada;Asian;Private; 47.5;58.694;FT
1390;31.0;Male;Master's Degree;Full Stack Engineer;7.0;140000.0;China;Korean;Private; 42.5;159.55;FT
1391;43.0;Male;PhD;Software Engineer Manager;13.0;180000.0;UK;Asian;Private; 42.5;72.021;FT
1392;27.0;Female;Master's Degree;Back end Developer;2.0;70000.0;China;Korean;Private; 42.5;85.032;FT
1393;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;UK;White;State; 47.5;123.701;FT
1394;48.0;Male;PhD;Senior Project Engineer;16.0;190000.0;Australia;White;Private; 52.5;100.561;FT
1395;30.0;Female;Master's Degree;Back end Developer;6.0;130000.0;Australia;Australian;Private; 42.5;48.531;FT
1396;28.0;Female;Master's Degree;Full Stack Engineer;4.0;110000.0;China;White;Private;45;114.787;FT
1397;46.0;Male;PhD;Software Engineer Manager;14.0;180000.0;China;Korean;Private; 42.5;102.249;FT
1398;37.0;Male;Master's Degree;Senior Software Engineer;9.0;145000.0;USA;African American;Private; 42.5;67.629;FT
1399;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;China;Korean;Private; 47.5;62.74;FT
1400;43.0;Male;PhD;Senior Project Engineer;12.0;165000.0;China;Chinese;Private; 47.5;152.61;FT
1401;31.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;Canada;White;Private; 42.5;54.339;FT
1402;56.0;Male;PhD;Software Engineer Manager;17.0;195000.0;China;White;State; 47.5;75.24;FT
1403;37.0;Male;Master's Degree;Senior Software Engineer;10.0;155000.0;USA;White;Private; 42.5;94.454;FT
1404;54.0;Male;PhD;Software Engineer Manager;16.0;190000.0;Australia;Asian;State; 42.5;61.112;FT
1405;58.0;Male;PhD;Software Engineer Manager;17.0;195000.0;Canada;Asian;Private; 42.5;83.801;FT
1406;33.0;Male;Master's Degree;Back end Developer;6.0;130000.0;China;Chinese;State;50;73.046;FT
1407;29.0;Female;Bachelor's Degree;Front end Developer;3.0;85000.0;UK;White;State; 42.5;56.691;FT
1408;52.0;Male;PhD;Software Engineer Manager;18.0;200000.0;China;White;State; 47.5;66.556;FL
1409;36.0;Male;Master's Degree;Full Stack Engineer;8.0;140000.0;USA;Hispanic;State; 47.5;102.249;FT
1410;26.0;Male;Bachelor's Degree;Back end Developer;2.0;65000.0;UK;Asian;State; 47.5;42.445;FT
1411;47.0;Male;PhD;Senior Project Engineer;16.0;190000.0;Australia;Australian;Other; 42.5;102.249;FT
1412;32.0;Male;Master's Degree;Full Stack Engineer;6.0;120000.0;Canada;Black;Private; 47.5;101.559;FT
1413;29.0;Male;Bachelor's Degree;Front end Developer;3.0;80000.0;USA;Asian;State; 42.5;135.556;FT
1414;28.0;Female;Master's Degree;Back end Developer;3.0;90000.0;USA;Hispanic;State; 42.5;116.666;FT
1415;54.0;Male;PhD;Software Engineer Manager;16.0;190000.0;USA;Asian;State; 42.5;102.249;FT
1416;57.0;Male;PhD;Software Engineer Manager;18.0;200000.0;Australia;Australian;Private; 42.5;53.796;FT
1417;51.0;Male;PhD;Software Engineer Manager;16.0;190000.0;UK;Mixed;State;42;68.905;FT
1418;28.0;Female;Master's Degree;Full Stack Engineer;4.0;110000.0;Canada;Asian;Private; 42.5;76.728;FT
1419;46.0;Male;PhD;Software Engineer Manager;14.0;180000.0;China;White;Private; 42.5;33.356;FT
1420;27.0;Female;Master's Degree;Back end Developer;2.0;65000.0;Australia;Asian;Private; 42.5;198.668;FT
1421;45.0;Male;PhD;Senior Project Engineer;14.0;185000.0;USA;Hispanic;Private; 42.5;36.77;FT
1422;23.0;Female;Bachelor's Degree;Front end Developer;1.0;55000.0;Australia;Australian;Private; 47.5;103556;FT
1423;36.0;Male;Master's Degree;Full Stack Engineer;7.0;130000.0;Canada;Asian;Private; 42.5;40.33;FT
1424;48.0;Male;PhD;Senior Project Engineer;16.0;190000.0;China;Korean;Private; 42.5;76.978;FT
1425;33.0;Female;Master's Degree;Full Stack Engineer;5.0;120000.0;Australia;Australian;Private; 42.5;146.66;FT
1426;38.0;Female;Master's Degree;Back end Developer;10.0;155000.0;Australia;Australian;Private; 47.5;116.666;FT
1427;51.0;Male;PhD;Software Engineer Manager;16.0;190000.0;USA;Hispanic;Private; 47.5;76.728;FT
1428;27.0;Female;Master's Degree;Full Stack Engineer;3.0;100000.0;Australia;Asian;Private; 42.5;136.532;FT
1429;37.0;Male;Master's Degree;Senior Software Engineer;9.0;150000.0;China;Chinese;State; 42.5;58.151;FT
1430;44.0;Female;Master's Degree;Senior Project Engineer;12.0;170000.0;USA;White;Private; 42.5;102.249;FT
1431;27.0;Male;Bachelor's Degree;Front end Developer;3.0;80000.0;Australia;Australian;Private; 42.5;67.629;FT
1432;38.0;Male;Master's Degree;Senior Software Engineer;10.0;155000.0;UK;Asian;Private; 42.5;114.787;FL
1433;54.0;Male;PhD;Software Engineer Manager;17.0;195000.0;USA;African American;Private;50;85.032;FT
1434;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;USA;Asian;State;30;51.079;FT
1435;27.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;Australia;White;Private;32.5;113.391;FT
1436;48.0;Male;PhD;Senior Project Engineer;16.0;190000.0;China;White;Private;55;116.666;FT
1437;31.0;Male;Master's Degree;Full Stack Engineer;7.0;140000.0;USA;Asian;State;35.5;80.904;FT
1438;25.0;Male;Bachelor's Degree;Front end Developer;1.0;55000.0;USA;White;Private;44;75.311;FT
1439;50.0;Male;PhD;Software Engineer Manager;16.0;190000.0;Australia;Australian;Private;48.5;87.288;FT
1440;46.0;Male;PhD;Software Engineer Manager;14.0;180000.0;Canada;White;Other;23;61.112;PT
1441;33.0;Male;Master's Degree;Full Stack Engineer;6.0;130000.0;USA;African American;Other;38;72.646;FT
1442;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;USA;Asian;State;38.5;75.24;FT
1443;41.0;Male;PhD;Senior Project Engineer;12.0;165000.0;UK;White;Private;40;140.94;FT
1444;43.0;Male;PhD;Senior Project Engineer;13.0;185000.0;China;White;Private;42.5;39.092;FT
1445;32.0;Male;Master's Degree;Back end Developer;6.0;130000.0;China;Korean;State;50;102.249;FT
1446;24.0;Male;Bachelor's Degree;Front end Developer;1.0;60000.0;USA;Hispanic;State;42.5;85.363;FT
1447;44.0;Female;Master's Degree;Senior Software Engineer;11.0;170000.0;Australia;Australian;State;36;148.425;FT
1448;36.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;Australia;Asian;Other;42.5;50.494;FT
1449;28.0;Female;Master's Degree;Full Stack Engineer;4.0;110000.0;Canada;Asian;State;55.5;55.299;CT
1450;28.0;Male;Bachelor's Degree;Front end Developer;2.0;70000.0;China;Korean;Private;40;107.005;FT
1451;37.0;Male;Master's Degree;Senior Software Engineer;9.0;145000.0;Canada;Black;Private;42.5;49.349;FT
1452;54.0;Male;PhD;Software Engineer Manager;16.0;190000.0;China;White;Private;42;159.959;FT
1453;58.0;Male;PhD;Software Engineer Manager;17.0;200000.0;Canada;Black;State;55;67.691;FT
1454;27.0;Male;Bachelor's Degree;Front end Developer;3.0;80000.0;Canada;White;State;42.5;111.498;FT
1455;30.0;Male;Bachelor's Degree;Back end Developer;4.0;95000.0;UK;White;State;44.5;120.644;FT
1456;27.0;Female;Master's Degree;Full Stack Engineer;3.0;100000.0;UK;White;State;42.5;189.843;FT
1457;54.0;Male;PhD;Software Engineer Manager;17.0;195000.0;UK;Asian;State;44;62.045;FT
1458;49.0;Male;PhD;Software Engineer Manager;15.0;185000.0;USA;African American;State;50;124.927;FT
1459;38.0;Male;Master's Degree;Senior Software Engineer;10.0;155000.0;USA;Asian;Private; 42.5;58.622;FT
1460;54.0;Male;PhD;Software Engineer Manager;18.0;195000.0;China;Chinese;State; 42.5;136.532;FT
1461;31.0;Male;Master's Degree;Senior Project Engineer;6.0;125000.0;China;Korean;State; 47.5;63.43;FT
1462;56.0;Male;PhD;Software Engineer Manager;17.0;195000.0;China;Korean;State; 42.5;62.74;FT
1463;31.0;Male;Master's Degree;Senior Software Engineer;7.0;140000.0;Canada;Black;State;50;100.561;FT
1464;42.0;Male;PhD;Senior Software Engineer;14.0;170000.0;Australia;Australian;State; 42.5;61.112;FT
